x,y,estimate,variance
0.782779,0.195695,10.463418,0.108345
0.978474,0.195695,10.500752,0.103962
1.174168,0.195695,10.542394,0.102061
1.369863,0.195695,10.588316,0.102440
1.565558,0.195695,10.638183,0.104634
1.761252,0.195695,10.691458,0.108032
1.956947,0.195695,10.747551,0.112023
2.152642,0.195695,10.805926,0.116075
2.348337,0.195695,10.866128,0.119770
2.544031,0.195695,10.927803,0.122801
2.739726,0.195695,10.990677,0.124950
2.935421,0.195695,11.054521,0.126078
3.131115,0.195695,11.119142,0.126102
3.326810,0.195695,11.184366,0.124990
3.522505,0.195695,11.250032,0.122760
3.718200,0.195695,11.315977,0.119480
3.913894,0.195695,11.382031,0.115282
4.109589,0.195695,11.447989,0.110379
4.305284,0.195695,11.513600,0.105090
4.500978,0.195695,11.578550,0.099868
4.696673,0.195695,11.642458,0.095315
4.892368,0.195695,11.704956,0.092150
5.088063,0.195695,11.765735,0.091083
5.283757,0.195695,11.824551,0.092599
5.479452,0.195695,11.881389,0.096776
5.675147,0.195695,11.936471,0.103286
5.870841,0.195695,11.990143,0.111569
6.066536,0.195695,12.042756,0.121040
6.262231,0.195695,12.094611,0.131199
6.457926,0.195695,12.145935,0.141672
6.653620,0.195695,12.196887,0.152189
6.849315,0.195695,12.247571,0.162566
7.045010,0.195695,12.298057,0.172683
7.240705,0.195695,12.348394,0.182458
7.436399,0.195695,12.398617,0.191839
7.632094,0.195695,12.448744,0.200793
7.827789,0.195695,12.498788,0.209302
8.023483,0.195695,12.548755,0.217356
8.219178,0.195695,12.598648,0.224952
8.414873,0.195695,12.648463,0.232090
8.610568,0.195695,12.698198,0.238774
8.806262,0.195695,12.747848,0.245010
9.001957,0.195695,12.797407,0.250804
9.197652,0.195695,12.846867,0.256163
9.393346,0.195695,12.896221,0.261095
9.589041,0.195695,12.945461,0.265604
9.784736,0.195695,12.994581,0.269695
9.980431,0.195695,13.043572,0.273377
10.176125,0.195695,13.092427,0.276655
10.371820,0.195695,13.141142,0.279534
10.567515,0.195695,13.189722,0.282019
10.763209,0.195695,13.238161,0.284113
10.958904,0.195695,13.286452,0.285816
11.154599,0.195695,13.334588,0.287127
11.350294,0.195695,13.382563,0.288043
11.545988,0.195695,13.430368,0.288567
11.741683,0.195695,13.477992,0.288703
11.937378,0.195695,13.525439,0.288455
12.133072,0.195695,13.572722,0.287829
12.328767,0.195695,13.619831,0.286830
12.524462,0.195695,13.666756,0.285463
12.720157,0.195695,13.713486,0.283736
12.915851,0.195695,13.760005,0.281658
13.111546,0.195695,13.806300,0.279242
13.307241,0.195695,13.852354,0.276503
13.502935,0.195695,13.898148,0.273458
13.698630,0.195695,13.943664,0.270129
13.894325,0.195695,13.988888,0.266541
14.090020,0.195695,14.033796,0.262724
14.285714,0.195695,14.078362,0.258711
14.481409,0.195695,14.122554,0.254540
14.677104,0.195695,14.166347,0.250251
14.872798,0.195695,14.209707,0.245889
15.068493,0.195695,14.252599,0.241501
15.264188,0.195695,14.294987,0.237134
15.459883,0.195695,14.336836,0.232827
15.655577,0.195695,14.378114,0.228614
15.851272,0.195695,14.418790,0.224523
16.046967,0.195695,14.458838,0.220566
16.242661,0.195695,14.498216,0.216739
16.438356,0.195695,14.536906,0.213029
16.634051,0.195695,14.574903,0.209405
16.829746,0.195695,14.612209,0.205825
17.025440,0.195695,14.648833,0.202230
17.221135,0.195695,14.684789,0.198556
17.416830,0.195695,14.720094,0.194729
17.612524,0.195695,14.754771,0.190674
17.808219,0.195695,14.788839,0.186317
18.003914,0.195695,14.822317,0.181589
18.199609,0.195695,14.855219,0.176427
18.395303,0.195695,14.887555,0.170779
18.590998,0.195695,14.919324,0.164605
18.786693,0.195695,14.950518,0.157884
18.982387,0.195695,14.981102,0.150619
19.178082,0.195695,15.011013,0.142843
19.373777,0.195695,15.040157,0.134635
19.569472,0.195695,15.068393,0.126132
19.765166,0.195695,15.095514,0.117555
19.960861,0.195695,15.121223,0.109242
20.156556,0.195695,15.145115,0.101676
